symbol,close_time,weighted_pnl,cum_wpnl,peak_30d,dd_30d,period,brake_state,action
TRXUSDT,1722412799999,-1.1458,-30.019299999999998,-28.873499999999996,1.1458000000000013,IS,off,taken
TRXUSDT,1725667199999,-1.2184,-31.237699999999997,-31.237699999999997,0.0,IS,off,taken
TRXUSDT,1727999999999,0.5856,-30.652099999999997,-30.652099999999997,0.0,IS,off,taken
TRXUSDT,1728489599999,-0.368,-31.020099999999996,-30.652099999999997,0.36799999999999855,IS,off,taken
TRXUSDT,1728892799999,-0.6535,-31.673599999999997,-30.652099999999997,1.0214999999999996,IS,off,taken
TRXUSDT,1729295999999,-0.4234,-32.096999999999994,-30.652099999999997,1.444899999999997,IS,off,taken
TRXUSDT,1730073599999,-0.6417,-32.738699999999994,-30.652099999999997,2.086599999999997,IS,off,taken
TRXUSDT,1730332799999,1.0146,-31.724099999999993,-30.652099999999997,1.0719999999999956,IS,off,taken
TRXUSDT,1730591999999,-0.7495,-32.47359999999999,-30.652099999999997,1.8214999999999932,IS,off,taken
TRXUSDT,1730822399999,-0.6681,-33.14169999999999,-31.020099999999996,2.1215999999999973,IS,off,taken
TRXUSDT,1731225599999,1.7777,-31.363999999999994,-31.363999999999994,0.0,IS,off,taken
TRXUSDT,1731686399999,4.4749,-26.889099999999992,-26.889099999999992,0.0,IS,off,taken
TRXUSDT,1731916799999,0.0,-26.889099999999992,-26.889099999999992,0.0,IS,off,taken
TRXUSDT,1732348799999,5.209,-21.680099999999992,-21.680099999999992,0.0,IS,off,taken
TRXUSDT,1732550399999,-3.2582,-24.93829999999999,-21.680099999999992,3.2581999999999987,IS,off,taken
TRXUSDT,1733183999999,6.9874,-17.95089999999999,-17.95089999999999,0.0,IS,off,taken
TRXUSDT,1739231999999,2.3822,-15.568699999999989,-15.568699999999989,0.0,IS,off,taken
TRXUSDT,1740787199999,0.0,-15.568699999999989,-15.568699999999989,0.0,IS,off,taken
TRXUSDT,1741420799999,-2.2222,-17.79089999999999,-15.568699999999989,2.222200000000001,IS,off,taken
TRXUSDT,1747497599999,-2.2489,-20.03979999999999,-20.03979999999999,0.0,OOS,off,taken
TRXUSDT,1747929599999,3.9449,-16.09489999999999,-16.09489999999999,0.0,OOS,off,taken
TRXUSDT,1749340799999,-0.9104,-17.005299999999988,-16.09489999999999,0.9103999999999992,OOS,off,taken
TRXUSDT,1749686399999,1.7992,-15.206099999999989,-15.206099999999989,0.0,OOS,off,taken
TRXUSDT,1750089599999,1.5283,-13.677799999999989,-13.677799999999989,0.0,OOS,off,taken
TRXUSDT,1750636799999,3.6987,-9.979099999999988,-9.979099999999988,0.0,OOS,off,taken
TRXUSDT,1752767999999,-0.4429,-10.421999999999988,-9.979099999999988,0.44289999999999985,OOS,off,taken
TRXUSDT,1753171199999,2.3328,-8.089199999999988,-8.089199999999988,0.0,OOS,off,taken
TRXUSDT,1753343999999,-1.8647,-9.953899999999987,-8.089199999999988,1.8646999999999991,OOS,off,taken
TRXUSDT,1753775999999,3.4494,-6.504499999999987,-6.504499999999987,0.0,OOS,off,taken
TRXUSDT,1754380799999,-2.1188,-8.623299999999986,-6.504499999999987,2.1187999999999994,OOS,off,taken
TRXUSDT,1756425599999,-1.0705,-9.693799999999985,-8.623299999999986,1.0704999999999991,OOS,off,taken
TRXUSDT,1757087999999,-0.9821,-10.675899999999984,-9.693799999999985,0.9820999999999991,OOS,off,taken
TRXUSDT,1757433599999,3.7909,-6.884999999999984,-6.884999999999984,0.0,OOS,off,taken
